title,rating,ratingLevel,release year,user rating score,Рейтинг КП,Голоса КП,Рейтинг IMDb,Голоса IMDb,Жанры,Страны
The Pirate Fairy,G,General Audiences. Suitable for all ages.,2014,57.0,6.96,16085,6.6,14886,"мультфильм, фэнтези, детский, приключения","США, Индия"
FernGully: The Last Rainforest,G,General Audiences. Suitable for all ages.,1992,70.0,7.768,13004,6.5,34243,"мультфильм, фэнтези, приключения, семейный","Австралия, США, Корея Южная, Тайвань, Великобритания, Франция, Канада, Таиланд, Дания"
Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,1987,58.0,6.844,11876,6.1,39053,"фэнтези, комедия, семейный",США
Atlantis: The Lost Empire,PG,action violence,2001,96.0,7.891,125402,6.9,135277,"мультфильм, фантастика, фэнтези, боевик, приключения, семейный","США, Япония"
Atlantis: Milo's Return,G,General Audiences. Suitable for all ages.,2003,79.0,6.039,11832,5.0,11381,"мультфильм, фантастика, фэнтези, боевик, драма, комедия, приключения, семейный","США, Филиппины"
Corpse Bride,PG,"some scary images and action, and brief mild language",2005,91.0,7.858,261707,7.4,300803,"мультфильм, мюзикл, фэнтези, драма, мелодрама, семейный, комедия","США, Великобритания"
Baby's Day Out,PG,mild language and comic action,1994,71.0,7.274,31298,6.2,56107,"драма, комедия, криминал, приключения, семейный",США
Blank Check,PG,Parental guidance suggested. May not be suitable for children.,1994,93.0,6.2,2436,5.3,22308,"комедия, криминал, семейный",США
Heavyweights,PG,some rude language and pranks,1995,74.0,6.053,2489,6.6,30909,"драма, комедия, семейный, спорт",США
D2: The Mighty Ducks,PG,some mild language and rough hockey action,1994,70.0,6.87,2604,6.1,43270,"спорт, комедия, драма, семейный",США
"Honey, I Shrunk the Kids",PG,Parental guidance suggested. May not be suitable for children.,1989,80.0,6.954,47007,6.4,167465,"фантастика, комедия, приключения, семейный","США, Мексика"
H2O: Just Add Water,TV-PG,Parental guidance suggested. May not be suitable for all children.,2009,74.0,7.019,63388,7.3,19303,"фэнтези, драма, мелодрама, комедия, приключения, семейный",Австралия
